STATE;ELDERLY;INCOME;POPULATION;STATEAID;SCHOOLAGE
Alabama;12.9;108322;4089;2075;19
Alaska;4.2;25188;570;4757;21.5
Arizona;13.2;125419;3750;1767;18.7
Arkansas;14.9;60486;2372;2077;19.2
California;10.5;1112819;30380;3288;18.1
Colorado;10.1;115743;3377;1811;18.5
Connecticut;13.7;150952;3291;2980;16
Delaware;12.2;24110;680;3428;17.2
Florida;18.3;431741;13277;2639;15.7
Georgia;10.1;196107;6623;2294;18.9
Hawaii;11.4;45999;1135;4260;17.6
Idaho;12.0;29525;1039;2026;22.7
Illinois;12.5;400461;11543;1657;18.3
Indiana;12.6;165360;5610;2517;18.9
Iowa;15.4;86838;2795;2192;19
Kansas;13.9;79531;2495;2017;19.3
Kentucky;12.7;96011;3713;2658;18.9
Louisiana;11.2;117049;4252;1990;21
Maine;13.4;37449;1235;2653;18.2
Maryland;10.9;195411;4860;2085;17
Massachusetts;13.7;233011;5996;2089;15.7
Michigan;12.1;327383;9368;1642;18.9
Minnesota;12.5;142161;4432;2804;19.2
Mississippi;12.4;54927;2592;1611;21.2
Missouri;14.1;156731;5158;1578;18.7
Montana;13.4;21827;808;2063;20.4
Nebraska;14.1;51218;1593;967;19.8
Nevada;10.8;46017;1284;1827;17.2
New Hampshire;11.6;43324;1105;392;17.7
New Jersey;13.4;338165;7760;2844;16.5
New Mexico;10.9;44703;1548;2856;21.2
New York;13.1;624717;18058;2945;16.8
North Carolina;12.3;196848;6737;3089;17.2
North Dakota;14.5;17890;635;1725;20
Ohio;13.1;354588;10939;1931;18.5
Oklahoma;13.5;87963;3175;2418;19.4
Oregon;13.7;95994;2922;1236;18.5
Pennsylvania;15.5;395227;11961;2764;16.8
Rhode Island;15.1;33687;1004;2193;15.9
South Carolina;11.4;106383;3560;2157;18.8
South Dakota;14.7;18847;703;982;20.8
Tennessee;12.7;131784;4953;1577;17.8
Texas;10.1;523523;17349;1947;20.2
Utah;8.8;53957;1770;1697;26.5
Vermont;11.9;17988;567;2359;18.3
Virginia;10.9;247172;6286;1746;17.1
Washington;11.8;185480;5018;3611;18.6
West Virginia;15.1;45360;1801;3303;18.4
Wisconsin;13.3;167856;4955;1920;19.2
Wyoming;10.6;14540;460;2769;22.1